id,customer_id,membership_id,location_id,billed_month,amount_usd,status,created_at
77c5f9c2-b0fd-425e-a93e-6b0b3d397708,cust-029,0c7b4f38-e6f2-42d4-ae99-5cba46f9478f,40e6dda6-bdf6-4f17-8bd2-5e53966i09d2,2024-02,29.99,Paid,2024-02-15
f77317a3-9aac-4701-9030-2c693b4b48f9,cust-006,15f7d4cf-bb84-4cf1-a391-139d0d75f14f,4b6ca304-239e-4ee4-9421-cf11a181p378,2024-03,39.99,Paid,2024-03-18
25f17d9e-237d-4c1b-b23d-c20a37b7e7b9,cust-046,acb90e18-4d5e-4a33-acc0-d7cb5a9e8fd3,1ce7act5-dc96-4eg4-39c1-bf92aa2ke751,2024-03,19.99,Paid,2024-03-18
59341e96-1efb-4801-ad0b-200b0d09560a,cust-034,0c7b4f38-e6f2-42d4-ae99-5cba46f9478f,40e6dda6-bdf6-4f17-8bd2-5e53966i09d2,2023-03,29.99,Paid,2023-03-19
eea15232-8f82-4977-89c1-ca87b7b62eb3,cust-024,15f7d4cf-bb84-4cf1-a391-139d0d75f14f,09fdfb1f-3ac6-40id-93f5-1efch35d9938,2023-05,39.99,Paid,2023-05-13
4e4afbdd-eaee-428e-bf4d-4fb17d48d631,cust-020,2af9a3c0-9834-4d70-a994-1a9672b7e7ea,40e6dda6-bdf6-4f17-8bd2-5e53966i09d2,2023-12,79.99,Canceled,2023-12-02
fd312f39-488f-42a9-9090-e581c110f29e,cust-050,2af9a3c0-9834-4d70-a994-1a9672b7e7ea,40e6dda6-bdf6-4f17-8bd2-5e53966i09d2,2024-01,79.99,Paid,2024-01-01
29b731cd-d5be-4662-b802-ffab547d55ce,cust-046,acb90e18-4d5e-4a33-acc0-d7cb5a9e8fd3,40e6dda6-bdf6-4f17-8bd2-5e53966i09d2,2023-01,19.99,Paid,2023-01-22
857d6fc1-935b-4b20-a86e-91bf0ca26cf8,cust-004,1de4938c-478e-4b51-97f4-9b3cbbcbf084,da506400-1z2f-4fej-1428-f1eae65af28a,2023-02,49.99,Canceled,2023-02-06
a165c8dd-8301-458d-a2d6-4ec1a15ff2a1,cust-030,0c7b4f38-e6f2-42d4-ae99-5cba46f9478f,09fdfb1f-3ac6-40id-93f5-1efch35d9938,2023-12,29.99,Failed,2023-12-05
99c0cdde-deb7-4d9c-8f70-849164762ef1,cust-014,acb90e18-4d5e-4a33-acc0-d7cb5a9e8fd3,da506400-1z2f-4fej-1428-f1eae65af28a,2023-05,19.99,Paid,2023-05-10
0922e7ee-1a25-492b-b46b-5858412f3ae2,cust-025,1de4938c-478e-4b51-97f4-9b3cbbcbf084,40e6dda6-bdf6-4f17-8bd2-5e53966i09d2,2024-01,49.99,Paid,2024-01-05
dcb60db8-7697-4f77-9dbe-e5f1a8addcd6,cust-047,5c5f7057-fcf5-4f0e-b3b0-9ef232f23bd0,da506400-1z2f-4fej-1428-f1eae65af28a,2023-02,14.99,Paid,2023-02-25
84206ec6-0263-48ad-a249-ae383ed7e2df,cust-013,5c5f7057-fcf5-4f0e-b3b0-9ef232f23bd0,1ce7act5-dc96-4eg4-39c1-bf92aa2ke751,2023-03,14.99,Paid,2023-03-26
4316b5a2-9860-4e66-9591-89725d05744e,cust-015,e1e902a2-38aa-4e02-bfc1-b20c6f39691f,09fdfb1f-3ac6-40id-93f5-1efch35d9938,2024-03,59.99,Paid,2024-03-02
a83bf96c-56ea-468c-ba89-36bedc9f3e49,cust-009,1de4938c-478e-4b51-97f4-9b3cbbcbf084,1ce7act5-dc96-4eg4-39c1-bf92aa2ke751,2024-02,49.99,Paid,2024-02-17
